#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AFD7CC,,,,,
#Date Time: 2020-09-24 15:58:33.471,,,,,
#Sample rate: 54615Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Pulse,,,,,
#Frequency: 1 Hz,,,,,
#Period: 1 s,,,,,
#Amplitude: 2.5 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 0.4 %,,,,,
#Phase: 0 °,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,
-0.072805092,-0.004771093,0.001619309,0.001179108,-0.672500636,9.237
-0.072786782,-0.008089353,0.001619309,0.001179108,-0.671822,9.23
-0.072768472,-0.004771093,0.004971471,0.003620001,-0.671143619,9.223
-0.072750162,-0.008089353,0.004971471,0.003620001,-0.670465495,9.216
-0.072731852,-0.008089353,0.004971471,0.003620001,-0.669787627,9.209
-0.072713542,-0.004771093,0.001619309,0.001179108,-0.669110015,9.202
-0.072695232,-0.004771093,0.001619309,0.001179108,-0.66843266,9.195
-0.072676922,-0.004771093,0.004971471,0.003620001,-0.667755561,9.188
-0.072658612,-0.004771093,0.004971471,0.003620001,-0.667078718,9.181
-0.072640302,-0.004771093,0.001619309,0.001179108,-0.666402132,9.174
-0.072621992,-0.004771093,0.001619309,0.001179108,-0.665725802,9.167
-0.072603682,-0.004771093,0.001619309,0.001179108,-0.665049729,9.16
-0.072585372,-0.004771093,0.001619309,0.001179108,-0.664373912,9.153
-0.072567062,-0.008089353,0.001619309,0.001179108,-0.663698351,9.146
-0.072548752,-0.004771093,0.001619309,0.001179108,-0.663023046,9.139
-0.072530442,-0.004771093,0.001619309,0.001179108,-0.662347998,9.132
-0.072512132,-0.004771093,0.001619309,0.001179108,-0.661673206,9.125
-0.072493822,-0.004771093,0.004971471,0.003620001,-0.660998671,9.118
-0.072475512,-0.004771093,0.004971471,0.003620001,-0.660324391,9.111
-0.072457202,-0.004771093,0.001619309,0.001179108,-0.659650369,9.104
-0.072438892,-0.004771093,0.004971471,0.003620001,-0.658976602,9.097
-0.072420582,-0.004771093,0.001619309,0.001179108,-0.658303092,9.09
-0.072402272,-0.004771093,0.001619309,0.001179108,-0.657629838,9.083
-0.072383962,-0.008089353,0.001619309,0.001179108,-0.656956841,9.076
-0.072365652,-0.008089353,0.004971471,0.003620001,-0.6562841,9.069
-0.072347342,-0.004771093,0.004971471,0.003620001,-0.655611615,9.062
-0.072329032,-0.004771093,0.001619309,0.001179108,-0.654939386,9.055
-0.072310722,-0.004771093,0.004971471,0.003620001,-0.654267414,9.048
